Name,Size,Type,Environment
A-mi-kuk,Huge,Aberration,
Aalpamac,Huge,Monstrosity,
Aarakocra,Medium,Humanoid,"mountain, planar"
Aarakocra Captain,Medium,Humanoid,"mountain, planar"
Aarakocra Priest of Aerdrie,Medium,Humanoid,"mountain, planar"
Aarakocra Sharpshooter,Medium,Humanoid,"mountain, planar"
Aatxe,Large,Celestial,
Aaztar-Ghola,Medium,Humanoid,
Abaasy,Huge,Giant,badlands
Abbanith,Large,Giant,
Abbanith Giant,Large,Giant,
Abjurer,Medium,Humanoid,urban
Aboleth,Large,Aberration,"aquatic, coast"
Aboleth (A5E),Large,Aberration,"Caverns, Plane of Water, Sewer, Water"
Aboleth Sovereign,Huge,Aberration,"aquatic, coast"
Aboleth Thrall (A5E),Medium,Humanoid,"Caverns, Settlement, Water"
"Aboleth, Nihileth",Large,Undead,any
"Aboleth, Nihilethic Zombie",Medium,Undead,"aquatic,ruins,underground"
"Aboleth, Nihilith",Large,Undead,
Abominable Beauty,Medium,Fey,any
Abominable Sloth,Huge,Beast,
Abominable Snowman (A5E),Large,Monstrosity,Tundra
Abominable Yeti,Huge,Monstrosity,"arctic, cave, mountain"
Accursed Defiler,Medium,Undead,"badlands, desert",inSsJpZ9U,Gr66H4zZaTkmTw,kM5,lrOu,0sWBWI,m2Rp,6ZIkC6JdDVco0gatzWJ,NK25PyQfIfc8d,Qzh2Pg2CT69tN
Accursed Guardian Naga (A5E),Large,Monstrosity,"Astral Plane, Caverns, Desert, Forest, Jungle, Mountains, Ruin, Temple"
Accursed Spirit Naga (A5E),Large,Monstrosity,"Astral Plane, Caverns, Desert, Forest, Jungle, Mountains, Ruin, Temple"
Acid Ant,Small,Monstrosity,
Acolyte,Medium,Humanoid,"arctic, desert, dungeon, forest, grassland, mountain, swamp, underground, urban"
Acolyte (A5E),Medium,Humanoid,"Desert, Hills, Settlement, Temple"
Adamanticore (A5E),Large,Monstrosity,"Desert, Forest, Grassland, Hills, Jungle, Mountains, Tundra"
Adherer,Medium,Aberration,"forest, underground",hFNRxwCquBFbs,zckPh95pp,WDkiIs9
Adranach,Huge,Construct,
Adult Amethyst Dragon (A5E),Huge,Dragon,Caverns
Adult Amethyst Dragon Spellcaster (A5E),Huge,Dragon,
Adult Black Dragon,Huge,Dragon,swamp
Adult Black Dragon (A5E),Huge,Dragon,Swamp
